"term","estimate","std_error","statistic","p_value","conf_low","conf_high"
"(Intercept)",13.7783937863441,7.08182578274736,1.94559908829031,0.0522708914281894,-0.135889186821483,27.6926767595097
"zn",0.0457100386397557,0.0187903245758933,2.43263699118847,0.0153440268015392,0.00879104326661956,0.0826290340128919
"indus",-0.0583501106659809,0.083635090782281,-0.697674984509528,0.485709373705532,-0.222675293935258,0.105975072603296
"chas",-0.825377552241016,1.18339625568657,-0.697465069941561,0.485840574237181,-3.1504997560549,1.49974465157287
"nox",-9.95758654708924,5.28982424149535,-1.88240404453861,0.0603698591805287,-20.3509672419082,0.435794147729672
"rm",0.628910662178198,0.607092390503731,1.03593896417704,0.300738474769797,-0.563896895006211,1.82171821936261
"age",-0.000848279066190845,0.0179482083633939,-0.0472626041004151,0.962323071580823,-0.0361126950079108,0.0344161368755291
"dis",-1.01224673820839,0.282467566447171,-3.58358572256723,0.0003725941753812,-1.56723548981852,-0.457257986598264
"rad",0.612465311496799,0.0875357637157902,6.99674379360351,0.00000000000858812317348225,0.440476134697091,0.784454488296507
"tax",-0.00377564652344236,0.00517234637386721,-0.729967842547911,0.465756543970457,-0.0139382081691335,0.00638691512224881
"ptratio",-0.304072757231233,0.186359810028979,-1.63164341702189,0.103393200055704,-0.670230187690164,0.0620846732276993
"lstat",0.138800596776763,0.0757212503591458,1.83304681471095,0.0673984405739814,-0.00997557153082984,0.287576765084355
"medv",-0.220056359039203,0.0598239557732764,-3.67839866479548,0.000260530205572314,-0.337597721216088,-0.102514996862318
