"package","version","imports","published"
"checkmate","2.3.4","backports (>= 1.1.0), utils","2026-02-03 08:40:02 UTC"
"assertthat","0.2.1","tools","2019-03-21 14:53:46 UTC"
"assertr","3.0.1","dplyr (>= 0.7.0), MASS, methods, stats, utils, rlang (>=
0.3.0)","2023-11-23 00:00:02 UTC"
"broom","1.0.13","backports, cli, dplyr (>= 1.0.0), generics (>= 0.0.2), glue,
lifecycle, purrr, rlang (>= 1.1.0), stringr, tibble (>= 3.0.0),
tidyr (>= 1.0.0)","2026-05-14 05:10:21 UTC"
"parameters","0.29.2","bayestestR (>= 0.18.1), datawizard (>= 1.3.1), insight (>=
1.5.1), graphics, methods, stats, utils","2026-06-28 23:20:02 UTC"
"modelsummary","2.6.0","checkmate (>= 2.3.1), data.table (>= 1.17.8), generics, glue,
insight (>= 1.4.0), methods, parameters (>= 0.28.0),
performance (>= 0.15.0), tables (>= 0.9.31), tinytable (>=
0.16.0)","2026-02-13 12:20:02 UTC"
"ggplot2","4.0.3","cli, grDevices, grid, gtable (>= 0.3.6), isoband, lifecycle (>
1.0.1), rlang (>= 1.1.0), S7, scales (>= 1.4.0), stats, vctrs
(>= 0.6.0), withr (>= 2.5.0)","2026-04-22 09:10:03 UTC"
"lattice","0.22-9","grid, grDevices, graphics, stats, utils","2026-02-09 06:10:13 UTC"
"car","3.1-5","abind, Formula, MASS, mgcv, nnet, pbkrtest (>= 0.4-4),
quantreg, grDevices, utils, stats, graphics, lme4 (>=
1.1-27.1), nlme, scales","2026-02-03 10:10:16 UTC"
