"variable","estimate","std_error","statistic","p_value","conf_low","conf_high","r_squared"
"zn",-0.073934977404123,0.0160945961932254,-4.59377647730262,0.00000550647210767964,-0.105555740896775,-0.0423142139114708,0.0401879080321104
"indus",0.509776331104227,0.0510243323317304,9.99084765656431,0.00000000000000000000145034893302777,0.409529743637108,0.610022918571347,0.165310070430752
"chas",-1.89277655080378,1.50611548365537,-1.25672737007522,0.209434501535198,-4.85181453656788,1.06626143496031,0.00312386896330565
"nox",31.2485312011229,2.99919038061173,10.4189888721733,0.00000000000000000000003751739260357,25.3560758355959,37.1409865666499,0.177217181792693
"rm",-2.68405122411395,0.532041083377015,-5.04481948476144,0.000000634670298468765,-3.72934276568866,-1.63875968253924,0.0480691167160835
"age",0.107786227139533,0.0127364362587918,8.46282468262107,0.000000000000000285486935024409,0.0827631800345664,0.1328092742445,0.124421451758946
"dis",-1.5509016824101,0.168330030929704,-9.21345807307415,0.000000000000000000851994876692635,-1.8816166648077,-1.2201867000125,0.144149374925399
"rad",0.617910927327202,0.0343318196678424,17.998199143111,0.0000000000000000000000000000000000000000000000000000000269384439818602,0.550459819082175,0.685362035572228,0.391256686749989
"tax",0.0297422528227653,0.00184741511910325,16.0993880125883,0.0000000000000000000000000000000000000000000000235712683525715,0.0261126695854734,0.0333718360600573,0.339614243378812
"ptratio",1.15198278707059,0.169373609252714,6.80143023552016,0.000000000029429224473598,0.819217505122643,1.48474806901853,0.0840684389437368
"lstat",0.548804782062398,0.0477609709441814,11.490653795623,0.00000000000000000000000000265427723147334,0.454969661983952,0.642639902140843,0.207590932534335
"medv",-0.363159922257603,0.0383901746742235,-9.45971007788722,0.000000000000000000117398708219436,-0.438584407547032,-0.287735436968174,0.150780469049757
